event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,M,Olympics,2008,table_23,7,2,Richard Thompson,,,,Trinidad and Tobago,,,9.93,0.175,
100m,M,Olympics,2008,table_23,5,3,Churandy Martina,,,,Netherlands Antilles,,,9.94,0.138,
100m,M,Olympics,2008,table_23,4,4,Darvis Patton,,,,United States,,,10.03,0.149,
100m,M,Olympics,2008,table_23,9,5,Tyson Gay,,,,United States,,,10.05,0.145,
100m,M,Olympics,2008,table_23,8,6,Francis Obikwelu,,,,Portugal,,,10.1,0.157,
100m,M,Olympics,2008,table_23,3,7,Naoki Tsukahara,,,,Japan,,,10.16,0.143,
100m,M,Olympics,2008,table_23,2,8,Martial Mbandjock,,,,France,,,10.18,0.148,
100m,M,Olympics,2008,table_24,4,,Usain Bolt,,,,Jamaica,,,9.69,0.165,
100m,M,Olympics,2008,table_24,5,,Richard Thompson,,,,Trinidad and Tobago,,,9.89,0.133,
100m,M,Olympics,2008,table_24,6,,Walter Dix,,,,United States,,,9.91,0.133,
100m,M,Olympics,2008,table_24,9,4,Churandy Martina,,,,Netherlands Antilles,,,9.93,0.169,
100m,M,Olympics,2008,table_24,7,5,Asafa Powell,,,,Jamaica,,,9.95,0.134,
100m,M,Olympics,2008,table_24,2,6,Michael Frater,,,,Jamaica,,,9.97,0.147,
100m,M,Olympics,2008,table_24,8,7,Marc Burns,,,,Trinidad and Tobago,,,10.01,0.145,
100m,M,Olympics,2008,table_24,3,8,Darvis Patton,,,,United States,,,10.03,0.142,
100m,F,Olympics,2008,table_6,6,1,Shelly-Ann Fraser,,,,Jamaica,,,11,0.217,
100m,F,Olympics,2008,table_6,4,2,Muna Lee,,,,United States,,,11.06,0.155,
100m,F,Olympics,2008,table_6,7,3,Lauryn Williams,,,,United States,,,11.1,0.174,
100m,F,Olympics,2008,table_6,5,4,Sherone Simpson,,,,Jamaica,,,11.11,0.166,
100m,F,Olympics,2008,table_6,9,5,Chandra Sturrup,,,,Bahamas,,,11.22,0.159,
100m,F,Olympics,2008,table_6,8,6,Lina Grinčikaitė,,,,Lithuania,,,11.5,0.163,
100m,F,Olympics,2008,table_6,3,7,Ivet Lalova,,,,Bulgaria,,,11.51,0.171,
100m,F,Olympics,2008,table_6,2,7,Vida Anim,,,,Ghana,,,11.51,0.189,
100m,F,Olympics,2008,table_7,7,1,Kerron Stewart,,,,Jamaica,,,11.05,0.202,
100m,F,Olympics,2008,table_7,4,2,Torri Edwards,,,,United States,,,11.18,0.174,
100m,F,Olympics,2008,table_7,3,3,Jeanette Kwakye,,,,Great Britain,,,11.19,0.156,
100m,F,Olympics,2008,table_7,6,4,Debbie Ferguson-McKenzie,,,,Bahamas,,,11.22,0.184,
100m,F,Olympics,2008,table_7,1,5,Yuliya Nestsiarenka,,,,Belarus,,,11.26,0.156,
100m,F,Olympics,2008,table_7,8,6,Kim Gevaert,,,,Belgium,,,11.3,0.194,
100m,F,Olympics,2008,table_7,5,7,Evgeniya Polyakova,,,,Russia,,,11.38,0.173,
100m,F,Olympics,2008,table_7,9,8,Oludamola Osayomi,,,,Nigeria,,,11.44,0.208,
100m,F,Olympics,2008,table_8,4,,Shelly-Ann Fraser,,,,Jamaica,,,10.78,0.19,
